,filename,modified,created,filetime,week,camera
102,/content/drive/MyDrive/Calanda-Drive/Trail Cam Photos/cam26/cam26_folder4/RCNX0187.JPG,Tue Oct  4 13:00:00 2022,Fri Oct 21 07:10:37 2022,04-10-2022-13:00,40,cam26
103,/content/drive/MyDrive/Calanda-Drive/Trail Cam Photos/cam21/cam21_folder1/RCNX0030.JPG,Fri May  6 23:00:00 2022,Fri Oct 21 09:11:52 2022,06-05-2022-23:00,18,cam21
104,/content/drive/MyDrive/Calanda-Drive/Trail Cam Photos/cam21/cam21_folder3/RCNX0004.JPG,Wed Jun 15 10:00:00 2022,Fri Oct 21 09:15:41 2022,15-06-2022-10:00,24,cam21
105,/content/drive/MyDrive/Calanda-Drive/Trail Cam Photos/cam21/cam21_folder3/RCNX0024.JPG,Wed Jun 22 07:00:00 2022,Fri Oct 21 09:16:48 2022,22-06-2022-07:00,25,cam21
106,/content/drive/MyDrive/Calanda-Drive/Trail Cam Photos/cam21/cam21_folder1/RCNX0047.JPG,Fri Jul  1 21:08:14 2022,Fri Oct 21 09:11:47 2022,01-07-2022-21:08,26,cam21
107,/content/drive/MyDrive/Calanda-Drive/Trail Cam Photos/cam21/cam21_folder3/RCNX0059.JPG,Sun Jul  3 13:00:00 2022,Fri Oct 21 09:15:51 2022,03-07-2022-13:00,27,cam21
108,/content/drive/MyDrive/Calanda-Drive/Trail Cam Photos/cam21/cam21_folder3/RCNX0089.JPG,Wed Jul 13 13:00:00 2022,Fri Oct 21 09:16:03 2022,13-07-2022-13:00,28,cam21
109,/content/drive/MyDrive/Calanda-Drive/Trail Cam Photos/cam21/cam21_folder3/RCNX0107.JPG,Tue Jul 19 13:00:00 2022,Fri Oct 21 09:15:57 2022,19-07-2022-13:00,29,cam21
110,/content/drive/MyDrive/Calanda-Drive/Trail Cam Photos/cam21/cam21_folder3/RCNX0129.JPG,Wed Jul 27 07:00:00 2022,Fri Oct 21 09:16:09 2022,27-07-2022-07:00,30,cam21
111,/content/drive/MyDrive/Calanda-Drive/Trail Cam Photos/cam21/cam21_folder4/RCNX0001.JPG,Wed Aug  3 13:00:00 2022,Fri Oct 21 09:13:56 2022,03-08-2022-13:00,31,cam21
112,/content/drive/MyDrive/Calanda-Drive/Trail Cam Photos/cam21/cam21_folder4/RCNX0022.JPG,Wed Aug 10 13:00:00 2022,Fri Oct 21 09:14:08 2022,10-08-2022-13:00,32,cam21
113,/content/drive/MyDrive/Calanda-Drive/Trail Cam Photos/cam21/cam21_folder4/RCNX0041.JPG,Wed Aug 17 07:00:00 2022,Fri Oct 21 09:14:18 2022,17-08-2022-07:00,33,cam21
114,/content/drive/MyDrive/Calanda-Drive/Trail Cam Photos/cam21/cam21_folder4/RCNX0070.JPG,Fri Aug 26 13:00:00 2022,Fri Oct 21 09:14:31 2022,26-08-2022-13:00,34,cam21
115,/content/drive/MyDrive/Calanda-Drive/Trail Cam Photos/cam21/cam21_folder4/RCNX0077.JPG,Mon Aug 29 07:00:00 2022,Fri Oct 21 09:14:38 2022,29-08-2022-07:00,35,cam21
116,/content/drive/MyDrive/Calanda-Drive/Trail Cam Photos/cam21/cam21_folder4/RCNX0110.JPG,Fri Sep  9 07:00:00 2022,Fri Oct 21 09:14:53 2022,09-09-2022-07:00,36,cam21
117,/content/drive/MyDrive/Calanda-Drive/Trail Cam Photos/cam21/cam21_folder4/RCNX0122.JPG,Tue Sep 13 07:00:00 2022,Fri Oct 21 09:15:00 2022,13-09-2022-07:00,37,cam21
118,/content/drive/MyDrive/Calanda-Drive/Trail Cam Photos/cam21/cam21_folder4/RCNX0143.JPG,Tue Sep 20 07:00:00 2022,Fri Oct 21 09:15:09 2022,20-09-2022-07:00,38,cam21
119,/content/drive/MyDrive/Calanda-Drive/Trail Cam Photos/cam21/cam21_folder4/RCNX0166.JPG,Tue Sep 27 13:00:00 2022,Fri Oct 21 09:15:21 2022,27-09-2022-13:00,39,cam21
120,/content/drive/MyDrive/Calanda-Drive/Trail Cam Photos/cam21/cam21_folder4/RCNX0186.JPG,Tue Oct  4 10:00:00 2022,Fri Oct 21 09:15:32 2022,04-10-2022-10:00,40,cam21
121,/content/drive/MyDrive/Calanda-Drive/Trail Cam Photos/cam23/cam23_folder1/RCNX0004.JPG,Thu Apr 28 23:00:00 2022,Fri Oct 21 08:36:58 2022,28-04-2022-23:00,17,cam23
122,/content/drive/MyDrive/Calanda-Drive/Trail Cam Photos/cam23/cam23_folder1/RCNX0024.JPG,Thu May  5 05:00:00 2022,Fri Oct 21 08:34:53 2022,05-05-2022-05:00,18,cam23
123,/content/drive/MyDrive/Calanda-Drive/Trail Cam Photos/cam23/cam23_folder1/RCNX0039.JPG,Tue May 10 05:00:00 2022,Fri Oct 21 08:32:44 2022,10-05-2022-05:00,19,cam23
124,/content/drive/MyDrive/Calanda-Drive/Trail Cam Photos/cam23/cam23_folder1/RCNX0057.JPG,Mon May 16 05:00:00 2022,Fri Oct 21 08:27:43 2022,16-05-2022-05:00,20,cam23
125,/content/drive/MyDrive/Calanda-Drive/Trail Cam Photos/cam23/cam23_folder3/RCNX0003.JPG,Wed Jun 15 07:00:00 2022,Fri Oct 21 08:27:46 2022,15-06-2022-07:00,24,cam23
126,/content/drive/MyDrive/Calanda-Drive/Trail Cam Photos/cam23/cam23_folder3/RCNX0017.JPG,Sun Jun 19 13:00:00 2022,Fri Oct 21 08:30:30 2022,19-06-2022-13:00,25,cam23
127,/content/drive/MyDrive/Calanda-Drive/Trail Cam Photos/cam23/cam23_folder2/RCNX0046.JPG,Fri Jul  1 16:56:12 2022,Fri Oct 21 08:34:51 2022,01-07-2022-16:56,26,cam23
